part_sku,location_id,date,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,reorder_quantity,last_replenishment_date,days_since_replenishment
SKU_SUS_001,LOC_002,10-01-2022,107,12,95,5,116,19-12-2021,22
SKU_SUS_001,LOC_003,10-01-2022,115,9,106,5,100,05-01-2022,5
SKU_SUS_001,LOC_004,10-01-2022,110,9,101,5,93,03-01-2022,7
SKU_SUS_001,LOC_005,10-01-2022,82,10,72,5,130,02-01-2022,8
SKU_ELC_001,LOC_001,10-01-2022,142,14,128,25,108,31-12-2021,10
SKU_ELC_001,LOC_002,10-01-2022,148,16,132,25,230,24-12-2021,17
SKU_ELC_001,LOC_003,10-01-2022,168,23,145,25,252,19-12-2021,22
SKU_ELC_001,LOC_004,10-01-2022,134,19,115,25,284,26-12-2021,15
SKU_ELC_001,LOC_005,10-01-2022,174,13,161,25,231,13-12-2021,28
SKU_ELC_002,LOC_001,10-01-2022,177,11,166,24,264,08-01-2022,2
SKU_ELC_002,LOC_002,10-01-2022,149,19,130,24,182,14-12-2021,27
SKU_ELC_002,LOC_003,10-01-2022,136,18,118,24,141,25-12-2021,16
SKU_ELC_002,LOC_004,10-01-2022,176,12,164,24,225,09-01-2022,1
SKU_ELC_002,LOC_005,10-01-2022,179,23,156,24,159,08-01-2022,2
SKU_CLG_001,LOC_001,10-01-2022,115,9,106,20,269,22-12-2021,19
SKU_CLG_001,LOC_002,10-01-2022,128,14,114,20,291,12-12-2021,29
SKU_CLG_001,LOC_003,10-01-2022,143,8,135,20,118,02-01-2022,8
SKU_CLG_001,LOC_004,10-01-2022,169,15,154,20,214,29-12-2021,12
SKU_CLG_001,LOC_005,10-01-2022,155,10,145,20,182,08-01-2022,2
SKU_WPR_001,LOC_001,10-01-2022,172,24,148,16,181,07-01-2022,3
SKU_WPR_001,LOC_002,10-01-2022,128,14,114,16,107,13-12-2021,28
SKU_WPR_001,LOC_003,10-01-2022,166,18,148,16,100,14-12-2021,27
SKU_WPR_001,LOC_004,10-01-2022,185,21,164,16,271,18-12-2021,23
SKU_WPR_001,LOC_005,10-01-2022,167,22,145,16,117,15-12-2021,26
SKU_CLT_001,LOC_001,10-01-2022,90,6,84,3,107,02-01-2022,8
SKU_CLT_001,LOC_002,10-01-2022,107,10,97,3,93,04-01-2022,6
SKU_CLT_001,LOC_003,10-01-2022,142,8,134,3,63,29-12-2021,12
SKU_CLT_001,LOC_004,10-01-2022,92,10,82,3,120,02-01-2022,8
SKU_CLT_001,LOC_005,10-01-2022,117,15,102,3,89,18-12-2021,23
SKU_BRK_001,LOC_001,17-01-2022,179,24,155,26,207,05-01-2022,12
SKU_BRK_001,LOC_002,17-01-2022,122,12,110,26,122,13-01-2022,4
SKU_BRK_001,LOC_003,17-01-2022,187,16,171,26,180,10-01-2022,7
SKU_BRK_001,LOC_004,17-01-2022,132,15,117,26,265,16-01-2022,1
SKU_BRK_001,LOC_005,17-01-2022,211,12,199,26,229,16-01-2022,1
SKU_BRK_002,LOC_001,17-01-2022,95,11,84,7,70,13-01-2022,4
SKU_BRK_002,LOC_002,17-01-2022,134,17,117,7,136,22-12-2021,26
SKU_BRK_002,LOC_003,17-01-2022,96,11,85,7,110,05-01-2022,12
SKU_BRK_002,LOC_004,17-01-2022,137,12,125,7,116,27-12-2021,21
SKU_BRK_002,LOC_005,17-01-2022,145,10,135,7,137,21-12-2021,27
SKU_ENG_001,LOC_001,17-01-2022,129,7,122,39,283,12-01-2022,5
SKU_ENG_001,LOC_002,17-01-2022,188,18,170,39,299,08-01-2022,9
SKU_ENG_001,LOC_003,17-01-2022,158,13,145,39,168,02-01-2022,15
SKU_ENG_001,LOC_004,17-01-2022,159,9,150,39,232,02-01-2022,15
SKU_ENG_001,LOC_005,17-01-2022,185,27,158,39,271,01-01-2022,16
SKU_ENG_002,LOC_001,17-01-2022,131,18,113,26,198,14-01-2022,3
SKU_ENG_002,LOC_002,17-01-2022,162,9,153,26,174,27-12-2021,21
SKU_ENG_002,LOC_003,17-01-2022,185,25,160,26,160,20-12-2021,28
SKU_ENG_002,LOC_004,17-01-2022,172,18,154,26,251,01-01-2022,16
SKU_ENG_002,LOC_005,17-01-2022,178,19,159,26,230,03-01-2022,14
SKU_SUS_001,LOC_001,17-01-2022,139,18,121,5,88,10-01-2022,7
SKU_SUS_001,LOC_002,17-01-2022,124,14,110,5,140,15-01-2022,2
SKU_SUS_001,LOC_003,17-01-2022,147,16,131,5,84,26-12-2021,22
SKU_SUS_001,LOC_004,17-01-2022,120,14,106,5,133,06-01-2022,11
SKU_SUS_001,LOC_005,17-01-2022,91,11,80,5,145,13-01-2022,4
SKU_ELC_001,LOC_001,17-01-2022,158,18,140,25,188,10-01-2022,7
SKU_ELC_001,LOC_002,17-01-2022,127,18,109,25,189,10-01-2022,7
SKU_ELC_001,LOC_003,17-01-2022,167,19,148,25,142,09-01-2022,8
SKU_ELC_001,LOC_004,17-01-2022,155,9,146,25,131,07-01-2022,10
SKU_ELC_001,LOC_005,17-01-2022,172,25,147,25,205,03-01-2022,14
SKU_ELC_002,LOC_001,17-01-2022,186,26,160,24,200,16-01-2022,1
SKU_ELC_002,LOC_002,17-01-2022,172,21,151,24,203,12-01-2022,5
SKU_ELC_002,LOC_003,17-01-2022,116,9,107,24,268,08-01-2022,9
SKU_ELC_002,LOC_004,17-01-2022,171,18,153,24,105,09-01-2022,8
SKU_ELC_002,LOC_005,17-01-2022,167,11,156,24,170,28-12-2021,20
SKU_CLG_001,LOC_001,17-01-2022,143,19,124,20,185,05-01-2022,12
SKU_CLG_001,LOC_002,17-01-2022,149,20,129,20,276,15-01-2022,2
SKU_CLG_001,LOC_003,17-01-2022,119,15,104,20,187,27-12-2021,21
SKU_CLG_001,LOC_004,17-01-2022,190,24,166,20,130,11-01-2022,6
SKU_CLG_001,LOC_005,17-01-2022,149,7,142,20,220,22-12-2021,26
SKU_WPR_001,LOC_001,17-01-2022,166,13,153,16,202,25-12-2021,23
SKU_WPR_001,LOC_002,17-01-2022,148,12,136,16,227,20-12-2021,28
SKU_WPR_001,LOC_003,17-01-2022,157,17,140,16,170,19-12-2021,29
SKU_WPR_001,LOC_004,17-01-2022,196,16,180,16,213,29-12-2021,19
SKU_WPR_001,LOC_005,17-01-2022,177,9,168,16,216,25-12-2021,23
SKU_CLT_001,LOC_001,17-01-2022,132,14,118,3,124,24-12-2021,24
SKU_CLT_001,LOC_002,17-01-2022,122,11,111,3,70,04-01-2022,13
SKU_CLT_001,LOC_003,17-01-2022,150,19,131,3,104,03-01-2022,14
SKU_CLT_001,LOC_004,17-01-2022,94,10,84,3,113,29-12-2021,19
SKU_CLT_001,LOC_005,17-01-2022,104,12,92,3,72,27-12-2021,21
SKU_BRK_001,LOC_001,24-01-2022,173,12,161,26,132,15-01-2022,9
SKU_BRK_001,LOC_002,24-01-2022,130,15,115,26,154,07-01-2022,17
SKU_BRK_001,LOC_003,24-01-2022,180,21,159,26,262,12-01-2022,12
SKU_BRK_001,LOC_004,24-01-2022,119,17,102,26,164,20-01-2022,4
SKU_BRK_001,LOC_005,24-01-2022,208,17,191,26,189,01-01-2022,23
SKU_BRK_002,LOC_001,24-01-2022,111,9,102,7,63,09-01-2022,15
SKU_BRK_002,LOC_002,24-01-2022,107,15,92,7,143,23-01-2022,1
SKU_BRK_002,LOC_003,24-01-2022,75,5,70,7,135,11-01-2022,13
SKU_BRK_002,LOC_004,24-01-2022,113,11,102,7,72,17-01-2022,7
SKU_BRK_002,LOC_005,24-01-2022,145,11,134,7,65,27-12-2021,28
SKU_ENG_001,LOC_001,24-01-2022,78,9,69,39,103,08-01-2022,16
SKU_ENG_001,LOC_002,24-01-2022,187,16,171,39,158,16-01-2022,8
SKU_ENG_001,LOC_003,24-01-2022,140,10,130,39,161,20-01-2022,4
SKU_ENG_001,LOC_004,24-01-2022,176,22,154,39,236,27-12-2021,28
SKU_ENG_001,LOC_005,24-01-2022,179,18,161,39,219,04-01-2022,20
SKU_ENG_002,LOC_001,24-01-2022,151,13,138,26,227,03-01-2022,21
SKU_ENG_002,LOC_002,24-01-2022,154,14,140,26,249,13-01-2022,11
SKU_ENG_002,LOC_003,24-01-2022,189,27,162,26,217,25-12-2021,30
SKU_ENG_002,LOC_004,24-01-2022,146,10,136,26,232,26-12-2021,29
SKU_ENG_002,LOC_005,24-01-2022,158,9,149,26,178,02-01-2022,22
SKU_SUS_001,LOC_001,24-01-2022,135,8,127,5,63,29-12-2021,26
SKU_SUS_001,LOC_002,24-01-2022,145,7,138,5,113,30-12-2021,25
SKU_SUS_001,LOC_003,24-01-2022,85,4,81,5,52,01-01-2022,23
SKU_SUS_001,LOC_004,24-01-2022,127,19,108,5,59,18-01-2022,6
SKU_SUS_001,LOC_005,24-01-2022,109,7,102,5,85,07-01-2022,17
SKU_ELC_001,LOC_001,24-01-2022,164,8,156,25,154,15-01-2022,9
SKU_ELC_001,LOC_002,24-01-2022,112,13,99,25,112,03-01-2022,21
SKU_ELC_001,LOC_003,24-01-2022,189,18,171,25,297,23-01-2022,1
SKU_ELC_001,LOC_004,24-01-2022,117,16,101,25,149,18-01-2022,6
SKU_ELC_001,LOC_005,24-01-2022,194,11,183,25,238,30-12-2021,25
SKU_ELC_002,LOC_001,24-01-2022,153,14,139,24,278,10-01-2022,14
SKU_ELC_002,LOC_002,24-01-2022,136,12,124,24,131,23-01-2022,1
SKU_ELC_002,LOC_003,24-01-2022,145,9,136,24,213,01-01-2022,23
SKU_ELC_002,LOC_004,24-01-2022,171,9,162,24,169,17-01-2022,7
SKU_ELC_002,LOC_005,24-01-2022,166,22,144,24,296,08-01-2022,16
SKU_CLG_001,LOC_001,24-01-2022,98,11,87,20,144,23-01-2022,1
SKU_CLG_001,LOC_002,24-01-2022,118,11,107,20,111,09-01-2022,15
SKU_CLG_001,LOC_003,24-01-2022,108,13,95,20,155,30-12-2021,25
SKU_CLG_001,LOC_004,24-01-2022,188,12,176,20,248,08-01-2022,16
SKU_CLG_001,LOC_005,24-01-2022,180,24,156,20,257,10-01-2022,14
SKU_WPR_001,LOC_001,24-01-2022,199,14,185,16,138,23-01-2022,1
SKU_WPR_001,LOC_002,24-01-2022,117,17,100,16,140,08-01-2022,16
SKU_WPR_001,LOC_003,24-01-2022,152,22,130,16,296,15-01-2022,9
SKU_WPR_001,LOC_004,24-01-2022,210,10,200,16,212,13-01-2022,11
SKU_WPR_001,LOC_005,24-01-2022,183,17,166,16,213,19-01-2022,5
SKU_CLT_001,LOC_001,24-01-2022,128,8,120,3,147,15-01-2022,9
SKU_CLT_001,LOC_002,24-01-2022,111,9,102,3,145,01-01-2022,23
SKU_CLT_001,LOC_003,24-01-2022,137,12,125,3,59,26-12-2021,29
SKU_CLT_001,LOC_004,24-01-2022,82,9,73,3,84,05-01-2022,19
SKU_CLT_001,LOC_005,24-01-2022,98,9,89,3,79,16-01-2022,8
SKU_BRK_001,LOC_001,31-01-2022,154,20,134,26,284,26-01-2022,5
SKU_BRK_001,LOC_002,31-01-2022,131,12,119,26,134,17-01-2022,14
SKU_BRK_001,LOC_003,31-01-2022,188,12,176,26,247,15-01-2022,16
SKU_BRK_001,LOC_004,31-01-2022,130,9,121,26,152,30-01-2022,1
SKU_BRK_001,LOC_005,31-01-2022,212,19,193,26,175,25-01-2022,6
SKU_BRK_002,LOC_001,31-01-2022,102,13,89,7,130,18-01-2022,13
SKU_BRK_002,LOC_002,31-01-2022,107,5,102,7,80,02-01-2022,29
SKU_BRK_002,LOC_003,31-01-2022,92,9,83,7,149,13-01-2022,18
SKU_BRK_002,LOC_004,31-01-2022,145,7,138,7,110,11-01-2022,20
SKU_BRK_002,LOC_005,31-01-2022,138,14,124,7,85,27-01-2022,4
SKU_ENG_001,LOC_001,31-01-2022,70,5,65,39,101,16-01-2022,15
SKU_ENG_001,LOC_002,31-01-2022,166,22,144,39,173,03-01-2022,28
SKU_ENG_001,LOC_003,31-01-2022,110,6,104,39,141,19-01-2022,12
SKU_ENG_001,LOC_004,31-01-2022,174,20,154,39,147,09-01-2022,22
SKU_ENG_001,LOC_005,31-01-2022,187,20,167,39,229,22-01-2022,9
SKU_ENG_002,LOC_001,31-01-2022,120,7,113,26,175,17-01-2022,14
SKU_ENG_002,LOC_002,31-01-2022,156,12,144,26,192,26-01-2022,5
SKU_ENG_002,LOC_003,31-01-2022,178,17,161,26,179,26-01-2022,5
SKU_ENG_002,LOC_004,31-01-2022,169,18,151,26,265,04-01-2022,27
SKU_ENG_002,LOC_005,31-01-2022,156,21,135,26,212,07-01-2022,24
SKU_SUS_001,LOC_001,31-01-2022,126,16,110,5,55,28-01-2022,3
SKU_SUS_001,LOC_002,31-01-2022,132,11,121,5,94,12-01-2022,19
SKU_SUS_001,LOC_003,31-01-2022,96,10,86,5,139,28-01-2022,3
SKU_SUS_001,LOC_004,31-01-2022,98,5,93,5,102,11-01-2022,20
SKU_SUS_001,LOC_005,31-01-2022,111,12,99,5,107,09-01-2022,22
SKU_ELC_001,LOC_001,31-01-2022,112,13,99,25,244,08-01-2022,23
SKU_ELC_001,LOC_002,31-01-2022,115,7,108,25,236,21-01-2022,10
SKU_ELC_001,LOC_003,31-01-2022,179,10,169,25,231,15-01-2022,16
SKU_ELC_001,LOC_004,31-01-2022,118,15,103,25,251,14-01-2022,17
SKU_ELC_001,LOC_005,31-01-2022,176,24,152,25,222,22-01-2022,9
SKU_ELC_002,LOC_001,31-01-2022,152,21,131,24,211,18-01-2022,13
SKU_ELC_002,LOC_002,31-01-2022,137,13,124,24,183,11-01-2022,20
SKU_ELC_002,LOC_003,31-01-2022,142,9,133,24,104,20-01-2022,11
SKU_ELC_002,LOC_004,31-01-2022,134,15,119,24,297,14-01-2022,17
SKU_ELC_002,LOC_005,31-01-2022,160,17,143,24,244,16-01-2022,15
SKU_CLG_001,LOC_001,31-01-2022,112,8,104,20,242,18-01-2022,13
SKU_CLG_001,LOC_002,31-01-2022,114,13,101,20,217,25-01-2022,6
SKU_CLG_001,LOC_003,31-01-2022,120,9,111,20,131,08-01-2022,23
SKU_CLG_001,LOC_004,31-01-2022,192,23,169,20,185,15-01-2022,16
SKU_CLG_001,LOC_005,31-01-2022,172,19,153,20,206,04-01-2022,27
SKU_WPR_001,LOC_001,31-01-2022,160,14,146,16,265,23-01-2022,8
SKU_WPR_001,LOC_002,31-01-2022,138,13,125,16,216,21-01-2022,10
SKU_WPR_001,LOC_003,31-01-2022,156,8,148,16,296,09-01-2022,22
SKU_WPR_001,LOC_004,31-01-2022,173,18,155,16,287,19-01-2022,12
SKU_WPR_001,LOC_005,31-01-2022,199,11,188,16,209,06-01-2022,25
SKU_CLT_001,LOC_001,31-01-2022,134,16,118,3,98,28-01-2022,3
SKU_CLT_001,LOC_002,31-01-2022,114,15,99,3,102,22-01-2022,9
SKU_CLT_001,LOC_003,31-01-2022,155,16,139,3,116,13-01-2022,18
SKU_CLT_001,LOC_004,31-01-2022,98,7,91,3,110,10-01-2022,21
SKU_CLT_001,LOC_005,31-01-2022,100,7,93,3,135,29-01-2022,2
SKU_BRK_001,LOC_001,07-02-2022,163,12,151,26,197,10-01-2022,28
SKU_BRK_001,LOC_002,07-02-2022,99,7,92,26,251,22-01-2022,16
SKU_BRK_001,LOC_003,07-02-2022,185,16,169,26,212,31-01-2022,7
SKU_BRK_001,LOC_004,07-02-2022,119,7,112,26,244,05-02-2022,2
SKU_BRK_001,LOC_005,07-02-2022,195,19,176,26,207,15-01-2022,23
SKU_BRK_002,LOC_001,07-02-2022,100,14,86,7,83,24-01-2022,14
SKU_BRK_002,LOC_002,07-02-2022,118,17,101,7,131,11-01-2022,27
SKU_BRK_002,LOC_003,07-02-2022,106,14,92,7,92,19-01-2022,19
SKU_BRK_002,LOC_004,07-02-2022,106,15,91,7,92,21-01-2022,17
SKU_BRK_002,LOC_005,07-02-2022,91,9,82,7,141,08-01-2022,30
SKU_ENG_001,LOC_001,07-02-2022,57,5,52,39,186,15-01-2022,23
SKU_ENG_001,LOC_002,07-02-2022,148,9,139,39,140,03-02-2022,4
SKU_ENG_001,LOC_003,07-02-2022,115,11,104,39,124,13-01-2022,25
SKU_ENG_001,LOC_004,07-02-2022,161,17,144,39,163,17-01-2022,21
SKU_ENG_001,LOC_005,07-02-2022,187,19,168,39,286,14-01-2022,24
SKU_ENG_002,LOC_001,07-02-2022,131,18,113,26,190,01-02-2022,6
SKU_ENG_002,LOC_002,07-02-2022,153,14,139,26,255,28-01-2022,10
SKU_ENG_002,LOC_003,07-02-2022,171,9,162,26,111,06-02-2022,1
SKU_ENG_002,LOC_004,07-02-2022,168,22,146,26,279,26-01-2022,12
SKU_ENG_002,LOC_005,07-02-2022,174,8,166,26,272,21-01-2022,17
SKU_SUS_001,LOC_001,07-02-2022,128,8,120,5,55,25-01-2022,13
SKU_SUS_001,LOC_002,07-02-2022,163,15,148,5,83,16-01-2022,22
SKU_SUS_001,LOC_003,07-02-2022,92,4,88,5,84,30-01-2022,8
SKU_SUS_001,LOC_004,07-02-2022,141,9,132,5,77,06-02-2022,1
SKU_SUS_001,LOC_005,07-02-2022,91,10,81,5,109,17-01-2022,21
SKU_ELC_001,LOC_001,07-02-2022,142,7,135,25,152,06-02-2022,1
SKU_ELC_001,LOC_002,07-02-2022,138,16,122,25,217,06-02-2022,1
SKU_ELC_001,LOC_003,07-02-2022,176,15,161,25,142,30-01-2022,8
SKU_ELC_001,LOC_004,07-02-2022,133,12,121,25,272,26-01-2022,12
SKU_ELC_001,LOC_005,07-02-2022,165,9,156,25,193,17-01-2022,21
SKU_ELC_002,LOC_001,07-02-2022,124,15,109,24,280,02-02-2022,5
SKU_ELC_002,LOC_002,07-02-2022,140,12,128,24,213,02-02-2022,5
SKU_ELC_002,LOC_003,07-02-2022,109,15,94,24,118,31-01-2022,7
SKU_ELC_002,LOC_004,07-02-2022,133,7,126,24,278,28-01-2022,10
SKU_ELC_002,LOC_005,07-02-2022,162,23,139,24,160,19-01-2022,19
SKU_CLG_001,LOC_001,07-02-2022,126,8,118,20,264,13-01-2022,25
SKU_CLG_001,LOC_002,07-02-2022,119,16,103,20,191,12-01-2022,26
SKU_CLG_001,LOC_003,07-02-2022,109,9,100,20,287,20-01-2022,18
SKU_CLG_001,LOC_004,07-02-2022,179,14,165,20,253,05-02-2022,2
SKU_CLG_001,LOC_005,07-02-2022,187,23,164,20,169,17-01-2022,21
SKU_WPR_001,LOC_001,07-02-2022,161,11,150,16,171,24-01-2022,14
SKU_WPR_001,LOC_002,07-02-2022,115,10,105,16,125,13-01-2022,25
SKU_WPR_001,LOC_003,07-02-2022,157,16,141,16,224,01-02-2022,6
SKU_WPR_001,LOC_004,07-02-2022,196,10,186,16,107,13-01-2022,25
SKU_WPR_001,LOC_005,07-02-2022,194,28,166,16,294,04-02-2022,3
SKU_CLT_001,LOC_001,07-02-2022,131,10,121,3,91,17-01-2022,21
SKU_CLT_001,LOC_002,07-02-2022,95,5,90,3,94,06-02-2022,1
SKU_CLT_001,LOC_003,07-02-2022,154,10,144,3,66,16-01-2022,22
SKU_CLT_001,LOC_004,07-02-2022,123,6,117,3,57,16-01-2022,22
SKU_CLT_001,LOC_005,07-02-2022,87,12,75,3,70,24-01-2022,14
SKU_BRK_001,LOC_001,14-02-2022,122,6,116,26,193,17-01-2022,28
SKU_BRK_001,LOC_002,14-02-2022,100,5,95,26,166,18-01-2022,27
SKU_BRK_001,LOC_003,14-02-2022,176,18,158,26,128,15-01-2022,30
SKU_BRK_001,LOC_004,14-02-2022,106,13,93,26,283,24-01-2022,21
SKU_BRK_001,LOC_005,14-02-2022,196,26,170,26,195,17-01-2022,28
SKU_BRK_002,LOC_001,14-02-2022,91,11,80,7,87,01-02-2022,13
SKU_BRK_002,LOC_002,14-02-2022,90,8,82,7,74,08-02-2022,6
SKU_BRK_002,LOC_003,14-02-2022,103,13,90,7,137,13-02-2022,1
SKU_BRK_002,LOC_004,14-02-2022,136,15,121,7,58,30-01-2022,15
SKU_BRK_002,LOC_005,14-02-2022,117,11,106,7,93,01-02-2022,13
SKU_ENG_001,LOC_001,14-02-2022,69,8,61,39,208,29-01-2022,16
SKU_ENG_001,LOC_002,14-02-2022,120,13,107,39,102,18-01-2022,27
SKU_ENG_001,LOC_003,14-02-2022,132,13,119,39,137,11-02-2022,3
SKU_ENG_001,LOC_004,14-02-2022,133,8,125,39,144,20-01-2022,25
SKU_ENG_001,LOC_005,14-02-2022,159,13,146,39,203,22-01-2022,23
SKU_ENG_002,LOC_001,14-02-2022,112,10,102,26,293,26-01-2022,19
SKU_ENG_002,LOC_002,14-02-2022,164,11,153,26,177,07-02-2022,7
SKU_ENG_002,LOC_003,14-02-2022,168,10,158,26,280,05-02-2022,9
SKU_ENG_002,LOC_004,14-02-2022,163,10,153,26,155,15-01-2022,30
SKU_ENG_002,LOC_005,14-02-2022,162,21,141,26,298,25-01-2022,20
SKU_SUS_001,LOC_001,14-02-2022,149,16,133,5,124,24-01-2022,21
SKU_SUS_001,LOC_002,14-02-2022,147,17,130,5,102,15-01-2022,30
SKU_SUS_001,LOC_003,14-02-2022,144,16,128,5,112,23-01-2022,22
SKU_SUS_001,LOC_004,14-02-2022,98,13,85,5,112,22-01-2022,23
SKU_SUS_001,LOC_005,14-02-2022,134,11,123,5,51,13-02-2022,1
SKU_ELC_001,LOC_001,14-02-2022,145,11,134,25,205,13-02-2022,1
SKU_ELC_001,LOC_002,14-02-2022,110,10,100,25,273,09-02-2022,5
SKU_ELC_001,LOC_003,14-02-2022,185,21,164,25,296,06-02-2022,8
SKU_ELC_001,LOC_004,14-02-2022,145,14,131,25,159,28-01-2022,17
SKU_ELC_001,LOC_005,14-02-2022,173,12,161,25,216,25-01-2022,20
